Scene_ID,ID,Group,Type,Stakeholder,Animation,Constraint,Effect,Main Value
story_wt.2-1,u_story_wt.28,st-2-1-1,TEXT,stakeholder.7,Smile-Talk,,,"So, Ken was telling me about your Northern Desert project. Building a plant! That’s one heck of a challenge."
story_wt.2-1,u_story_wt.29,st-2-1-2,CHOICE,stakeholder.7,,,,choice_4
story_wt.2-1,u_story_wt.30,st-2-1-3,TEXT,stakeholder.7,Smile-Talk,attribute.0 = 1,attribute.1 + 50,"Sure, you know I’m always happy to help."
story_wt.2-1,u_story_wt.31,st-2-1-3,TEXT,stakeholder.7,ConcernTalk,attribute.0 = 2,attribute.1 - 40,"He seems pretty interested, but I’m not sure if I share the same sentiment."
story_wt.2-1,u_story_wt.32,st-2-1-5,TEXT,stakeholder.7,Talk,,,"Look, I’ve been with Galaxia Energy a long time, and I have to tell you this project is highly risky. You can’t just charge full steam ahead. I suggest you keep the scope small and be prepared to adapt quickly."
story_wt.2-1,u_story_wt.33,st-2-1-6,TEXT,sh.player,,,,So how do you think the other team members will react to this? They’re all key stakeholders in this project.
story_wt.2-1,u_story_wt.34,st-2-1-7,TEXT,stakeholder.7,Talk,,fact.1 = 1,"I’d say Anthony and Yuna are similar to me – practical and cautious. On the other hand Ken, Jane and Avi, they’ll be more inclined towards radical change. Everyone around here wants to see change but we come from different mindsets."
story_wt.2-1,u_story_wt.35,st-2-1-8,TEXT,stakeholder.7,Talk,,fact.2 = 1,"As you know, I love to help others navigate our organization so please feel free to reach out anytime."
story_wt.2-1,u_story_wt.36,st-2-1-9,TEXT,sh.player,,,,"Insights like these are very helpful and just what I need, Brittney. Thanks!"
story_wt.2-1,u_story_wt.37,st-2-1-10,TEXT,stakeholder.7,Smile-Talk,,,"Great. I’ll see you in the meeting then. Meanwhile, stay out of trouble!"
story_wt.2-1,u_story_wt.38,st-2-1-11,EVENT,,,coreAttr.1 = 0,,event.1
story_wt.2-1,u_story_wt.39,st-2-1-12,SCENE,,,coreAttr.1 = 0,,scene.3
story_wt.2-1,u_story_wt.40,st-2-1-13,MEETING,,,,,
